Second,X,Y,Z
0.782868,0,0,0
0.830628,-0.4624201,-0.10880494,0.5032215
0.870179,-0.50021505,-0.38029432,0.41825676
0.910248,-0.55880916,-0.1452992,0.640007
0.950409,-0.72883284,-0.28679657,0.49661255
0.990174,-0.7344316,-0.12237787,1.27876
1.030335,-0.913442,0.021018028,0.44991302
1.069977,-0.80309045,-0.036198854,-0.001000404
1.114594,-1.2540486,0.13962626,0.60455227
1.150055,-1.3859491,0.20163369,0.5186615
1.190217,-1.419341,0.106209755,-0.026791573
1.230225,-1.7080138,0.36898756,0.40303326
1.270234,-1.705693,0.40337205,0.36682796
1.313141,-1.3357577,0.2754507,1.1160793
1.350068,1.0010598,-0.2957418,3.327118
1.395173,0.12546349,-0.8211069,1.2267904
1.430115,-0.08578265,-1.5851102,-2.9911327
1.470276,-0.6520778,-2.314733,-0.21441364
1.510071,1.4181118,-3.6313558,-1.6744614
1.550568,-0.57336265,-1.8888783,-5.0963526
1.589966,-0.14749965,-0.920416,-1.0734339
1.63028,-3.5290394,2.0757446,1.3486996
1.670411,-1.8648663,0.18203521,-0.7313471
1.710206,-0.6394508,0.49723554,0.86735344
1.750184,-0.55484396,1.0879313,-0.5241337
1.790253,-0.19909415,0.7910782,0.8323374
1.830475,0.51321465,1.2818378,0.7912054
1.871979,0.25877437,0.40365124,0.10946369
1.91095,0.47628087,0.7069092,0.5579405
1.951203,0.78089803,0.2618227,0.6086054
1.99112,0.9762272,-0.15858889,0.82444286
2.031037,0.9145415,-0.29005146,0.6604023
2.071045,1.6511717,-0.81253195,0.057053566
2.121003,2.0074406,0.29255557,1.7186241
2.161194,0.8292065,-0.30676103,0.16112041
2.200959,2.8976705,-0.7101215,1.1013403
2.240998,2.0155208,-0.8175082,-0.9530134
2.280976,1.5611808,-1.0171503,-1.76159
2.320954,1.2780108,0.008827448,-0.32951164
2.360993,2.2899866,-1.1748965,-0.48104954
2.401185,1.6499572,-0.51326394,-0.31582165
2.440979,1.2719653,-0.6523173,-0.03175831
2.48111,1.104545,-0.6265243,-0.79998493
2.520905,1.0177972,-0.7239791,-0.4835415
2.561249,1.0298324,-0.9039254,-0.24916458
2.601075,1.1046586,-1.084243,-0.81042767
2.641083,1.2281499,-1.6425047,-1.6225262
2.682038,1.5310907,-2.488587,-2.3509665
2.732422,2.2876067,-3.8555949,-4.2243123
2.77002,5.1862283,-3.1804376,-2.741879
2.820435,5.3670444,-2.5650122,-0.6327753
2.860138,5.83005,-2.1136477,-0.89500237
2.900544,7.1794643,-1.688445,-2.3155885
2.940186,7.3033905,-0.48571196,-3.984232
2.983155,5.2705584,-2.0080252,-3.2291594
3.030121,2.8059163,-3.1587455,-5.3214417
3.070527,-0.22802687,-3.7908192,-6.5102158
3.110718,0.49504566,-2.4378703,-4.512265
3.152405,0.15021515,-4.239932,-0.546957
3.190247,-1.8564477,-4.4745727,-4.699509
3.229981,-2.6977553,-4.1181183,-5.7816415
3.259949,-2.4124913,-3.566908,-4.7447433
3.290009,-4.0057273,-3.216233,-4.9960947
3.319977,-5.4496765,-2.4792376,-2.3980312
3.360077,-4.632371,-3.1220498,-1.0006893
3.400177,-3.858965,-2.919413,-1.5774709
3.440217,-3.427021,-1.6629009,-0.85916173
3.480256,-3.6225967,-2.3176923,-0.25312924
3.520234,-3.996017,-4.187178,-2.8393972
3.560334,-3.3649628,-4.269621,-2.550878
3.600525,-2.9463341,-1.4547229,-2.1249502
3.640076,-4.753998,1.1669011,-2.8736107
3.711152,-1.0981874,-2.991672,-0.1730561
3.773194,-0.16849089,-4.297573,-2.3377275
3.832551,-0.5136492,0.19031143,-0.96430564
3.872254,-0.12599683,0.29669857,0.49399507
3.91272,-0.8961332,0.6545696,-0.20113784
3.960053,-3.8650782,4.3082685,1.0759295
4.0029,1.118864,-3.4943647,1.1650532
4.050477,-1.5249094,0.27343273,0.1735363
4.095459,-0.005380154,0.43580437,0.48416466
4.142395,-0.9531988,-0.3621645,0.98023057
4.193238,-3.975172,5.042829,-0.11583412
4.241333,-0.27684188,-0.85645485,0.13472164
4.280762,-1.1305712,1.4901838,2.1772006
4.320099,-2.8502598,0.3997593,2.2764754
4.37027,-1.8296142,-7.6368027,2.8235831
4.410004,-3.7889228,0.3505993,1.6969384
4.44043,-2.968797,-0.7046709,1.5726893
4.481873,-3.2099054,-1.96737,1.5811849
4.533814,-1.0627046,2.1715918,1.2587279
4.582062,-1.4019027,-2.235673,-0.7217575
4.620881,-0.40248987,0.20406532,0.45447266
4.662079,0.8664595,1.0852747,0.1267482
4.701203,0.14813387,0.48908234,0.16585279
4.740326,-0.2681719,0.23004246,0.15673983
4.780243,-0.69725263,0.36900043,-0.4305411
4.820221,-0.60585225,0.17117691,0.21388662
4.86026,-0.2812047,0.21179676,0.033507705
4.901001,-0.13374305,0.13771534,-0.097265124
4.940735,0.2490117,0.07032108,0.07142985
4.980256,0.5318203,-0.052131653,0.16720426
5.0206,0.57446903,-0.13159657,0.09250522
5.060639,0.5576805,-0.07252598,0.17361462
5.110901,0.15269148,-0.07653141,0.18919694
5.150116,-0.3220961,-0.19397068,0.21408784
5.192597,-0.21279919,-0.099167824,0.3426751
5.230256,-0.104189515,0.026104927,0.25063467
5.271088,0.13430458,0.00357151,0.07266891
5.311005,0.22187704,-0.04728031,-0.1212368
5.350525,0.37526858,0.007652283,-0.15090919
5.390107,0.20776147,0.017654419,-0.24371147
5.430298,0.13511574,0.05077076,-0.19114614
5.470093,0.08481413,-0.015089989,-0.26305592
5.510743,-0.053420782,0.025036812,-0.22690427
5.550599,0.00889349,0.022435188,-0.16641772
5.59021,0.11169672,0.018912315,-0.17981744
5.63028,0.16221058,-0.025714874,-0.17490566
5.669953,0.14762485,-0.029118538,-0.18244684
5.710145,0.026190758,-0.0316,-0.19095874
5.747406,0.05576527,0.008048058,-0.12071192
5.78122,-0.07720095,0.008011818,-0.05405116
5.82071,-0.046132803,0.009243012,-0.11250889
5.860657,-0.013322055,0.011078835,-0.051265597
5.900147,-0.059375763,0.012804985,-0.03401649
5.940186,-0.020332456,-0.026906013,-0.019843698
5.980195,0.0218153,0.014403343,0.032152653
6.02118,-0.05626905,0.014271736,-6.05E-04
6.06009,-0.010782957,0.041009903,0.045452
6.100861,0.034964263,-0.027989388,0.006937385
6.140137,0.10731655,-0.029174805,0.006984592
6.180512,0.041915238,-0.030353546,-0.076405644
6.220124,-0.03943044,-0.07182789,0.003033638
6.260865,-6.88E-04,0.010437012,-0.039649963
6.299927,0.06382054,0.012248993,0.041406512
6.34137,-0.00860101,-0.025647163,-0.039609194
6.380524,-0.053617537,0.01848507,-0.07885349
6.430909,0.051693857,-0.019042015,-0.11645758
6.470368,0.049255133,-0.05732727,-0.07125485
6.512177,-0.020197809,0.026295662,-0.024022222
6.550232,0.04699242,0.027798653,0.024567962
6.590241,0.018785775,0.02895832,-0.048475504
6.630158,0.01743114,0.029509544,8.05E-04
6.672608,-0.02539444,-0.011782646,0.008112907
6.710175,-0.027545989,-0.012978554,-0.027205825
6.753144,0.079312444,-0.014856339,-0.02355659
6.790375,0.07756382,0.024235725,-0.08931494
6.840119,0.07536405,0.022824287,-0.019374728
6.881318,0.07206708,0.0489769,-0.017042518
6.920075,0.026302278,-0.020234108,-0.08189702
7.000031,-0.01481396,0.01778698,-0.071716666
7.041352,0.001695573,-0.025374413,-0.03516674
7.122284,-0.005817354,0.013682365,-0.08700788
7.160462,0.1123935,-0.028123856,0.11665404
7.200013,-0.039261162,-0.028130531,0.045249104
7.230988,-0.01284498,0.013272285,0.09375286
7.271454,-0.0810346,-0.026185036,0.015979767
7.310029,-0.012495458,-0.024327278,0.01637435
7.351227,-0.038428605,-0.022133827,0.0133636
7.390168,0.031854987,0.02103138,0.04935038
7.43042,-0.03330666,-0.017510414,0.002693176
7.480469,-0.0703727,-0.015205383,0.07780635
7.520051,-0.025859416,-0.013325691,0.0718925
7.560181,0.005087972,0.029047012,0.025531173
7.600953,0.049741983,-0.010645866,-0.048012257
7.680176,-0.013905644,-0.009903908,-0.02805543
7.720124,0.015527666,-0.009476662,-0.032198668
7.760743,-0.012006938,-0.05003071,-0.03266096
7.790741,-0.013331711,-0.00878334,0.009624243
7.83017,0.011372447,-0.007931709,-0.027149439
7.870331,0.0493598,0.03430462,-0.048885584
7.910157,0.04665798,0.035891533,-0.083922505
7.950409,0.04405135,-0.003714562,-0.01006949
7.990174,3.67E-04,0.037582397,-0.07252586
8.030274,0.03796333,-0.003876686,0.001219869
8.070405,-0.033749938,-0.005392075,-0.020425081
8.111695,-0.010136187,0.03333664,-0.05586493
